date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:37:52	2829/2829	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Sep%202026%2005:37:51%20GMT	https://tlktokbrazil.vercel.app/robots.txt		(from )
02:37:52	257/257	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Fri,%2025%20Sep%202026%2005:37:52%20GMT	https://tlktokbrazil.vercel.app/?catalog_sku=71982339-2023-0169&utm_source=tiktok&utm_medium=catalog&utm_campaign=cat_c4354c89&utm_content=fc0e3e23&utm_term=user_13	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/index0c85.html	(from )
02:37:53	57925/57925	---MCZ	200	added ('OK')	text/html	etag:W/%22676107ae7b386b03a7f1e002bd450476%22	https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/ferramenta869c.html	(from https://tlktokbrazil.vercel.app/?catalog_sku=71982339-2023-0169&utm_source=tiktok&utm_medium=catalog&utm_campaign=cat_c4354c89&utm_content=fc0e3e23&utm_term=user_13)
02:37:53	139046/139046	---M--	200	added ('OK')	image/webp	etag:%22a0d08a236e4995754f0838732e765541%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/3a6e2019-320a-446d-9306-bb7daebf9e01/header-1.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/3a6e2019-320a-446d-9306-bb7daebf9e01/header-1.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:53	20050/20050	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2262ff538e0ed7865c2e8ab9bd5d3c0e10%22	https://tlktokbrazil.vercel.app/assets/styles-dGQVARyc.css	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/styles-dGQVARyc.css	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:54	0/-1	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Sep%202026%2005:37:54%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/analytics.tiktok.com/i18n/pixel/events.js	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:54	305760/305760	---M--	200	added ('OK')	image/webp	etag:%22b85f1a7090dd0061f673927a7f831ec6%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/e99009e0-529b-4d91-b05e-5e7b78722595/header-2.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/e99009e0-529b-4d91-b05e-5e7b78722595/header-2.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:54	264366/264366	---M--	200	added ('OK')	image/webp	etag:%22a4120cefc75695e730f81e7f31054e53%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/8365bffa-539c-4ac8-966d-475c18a1ab7d/header-3.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/8365bffa-539c-4ac8-966d-475c18a1ab7d/header-3.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:55	222058/222058	---M--	200	added ('OK')	image/webp	etag:%22f384066618aa8075d789c56a09e78028%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/a047f9d5-6196-4c5f-9f17-6fc6feb71adb/header-4.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/a047f9d5-6196-4c5f-9f17-6fc6feb71adb/header-4.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:55	221500/221500	---M--	200	added ('OK')	image/webp	etag:%22209a2d667b0364df02ba75820f4dee0a%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/0e35ad4f-f9a7-4db9-abd9-5e89ba2dde76/header-5.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/0e35ad4f-f9a7-4db9-abd9-5e89ba2dde76/header-5.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
